account_id,country,solution,outcome,num_touches,full_path,simple_path,first_3_actions,actions_list
001E000001gWPACIA4,US,Digital,Lost,7,Meeting → Meeting → Email → Email → Meeting → Meeting → Inbound Call,Meeting → Meeting → Email → Email → Meeting,Meeting → Meeting → Email,"Meeting,Meeting,Email,Email,Meeting,Meeting,Inbound Call"
001E000001gWPBoIAO,US,MRS,Won,96,Meeting → Meeting → Meeting → Meeting → Meeting → Meeting → Meeting → Meeting → Meeting → Meeting → ... → Inbound Call → Inbound Call → Email → Email → Inbound Call → Inbound Call → Email → Email → Email → Email,Meeting → Meeting → Meeting → Meeting → Meeting,Meeting → Meeting → Meeting,"Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Email,Email,Email,Email,Email,Email,Email,Email,Meeting,Meeting,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Meeting,Meeting,Review,Review,Meeting,Meeting,Email,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Email,Follow Up,Follow Up,Email,Email,Email,Email,Follow Up,Follow Up,Follow Up,Follow Up,Email,Email,Email,Email,Email,Email,Inbound Call,Inbound Call,Email,Email,Inbound Call,Inbound Call,Email,Email,Email,Email"
001E000001gWPCgIAO,US,MRS,Ongoing,4,Inbound Call → Meeting → Email → Meeting,Inbound Call → Meeting → Email → Meeting,Inbound Call → Meeting → Email,"Inbound Call,Meeting,Email,Meeting"
001E000001gWPD1IAO,US,MRS,Won,70,Follow Up → Follow Up → Follow Up → Follow Up → Meeting → Meeting → Meeting → Follow Up → Meeting → Meeting → ... → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Follow Up,Follow Up → Follow Up → Follow Up → Follow Up → Meeting,Follow Up → Follow Up → Follow Up,"Follow Up,Follow Up,Follow Up,Follow Up,Meeting,Meeting,Meeting,Follow Up,Meeting,Meeting,Meeting,Meeting,Follow Up,Email,Email,Email,Email,Email,Follow Up,Follow Up,Inbound Call,Inbound Call,Email,Follow Up,Follow Up,Follow Up,Inbound Call,Follow Up,Follow Up,Inbound Call,Follow Up,Inbound Call,Follow Up,Inbound Call,Inbound Call,Follow Up,Follow Up,Follow Up,Follow Up,Inbound Call,Follow Up,Follow Up,Follow Up,Inbound Call,Follow Up,Inbound Call,Follow Up,Follow Up,Follow Up,Follow Up,Follow Up,Follow Up,Follow Up,Follow Up,Follow Up,Meeting,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Follow Up"
001E000001gWPDDIA4,US,MRS,Won,24,Meeting → Email → Meeting → Email → Inbound Call → Email → Email → Meeting → Email → Email → ... → On-Site → Review → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Meeting → Email → Meeting → Email → Inbound Call,Meeting → Email → Meeting,"Meeting,Email,Meeting,Email,Inbound Call,Email,Email,Meeting,Email,Email,Email,Meeting,Follow Up,On-Site,On-Site,Review,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call"
001E000001gWPGaIAO,US,MRS,Won,5,Email → Inbound Call → Email → Inbound Call → Inbound Call,Email → Inbound Call → Email → Inbound Call → Inbound Call,Email → Inbound Call → Email,"Email,Inbound Call,Email,Inbound Call,Inbound Call"
001E000001gWPHmIAO,US,MRS,Lost,34,Email → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → ... → Inbound Call → Inbound Call → On-Site → Inbound Call → Email → Inbound Call → Inbound Call → Inbound Call → Follow Up → Inbound Call,Email → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Email → Inbound Call → Inbound Call,"Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Email,Email,Inbound Call,Inbound Call,On-Site,Inbound Call,Email,Inbound Call,Inbound Call,Inbound Call,Follow Up,Inbound Call"
001E000001gWPI3IAO,US,MRS,Ongoing,3,Email → Inbound Call → Follow Up,Email → Inbound Call → Follow Up,Email → Inbound Call → Follow Up,"Email,Inbound Call,Follow Up"
001E000001gWPJfIAO,US,MRS,Won,5,Email → Email → Inbound Call → Email → Email,Email → Email → Inbound Call → Email → Email,Email → Email → Inbound Call,"Email,Email,Inbound Call,Email,Email"
001E000001gWPK9IAO,US,MRS,Lost,3,Inbound Call → Email → Follow Up,Inbound Call → Email → Follow Up,Inbound Call → Email → Follow Up,"Inbound Call,Email,Follow Up"
001E000001gWPKiIAO,US,MRS,Ongoing,1,Follow Up,Follow Up,Follow Up,Follow Up
001E000001gWPLDIA4,US,MRS,Won,18,Email → Email → Email → Inbound Call → Inbound Call → Inbound Call → Email → Email → Email → Email → Inbound Call → Inbound Call → Email → Inbound Call → Email → Meeting → Inbound Call → Inbound Call,Email → Email → Email → Inbound Call → Inbound Call,Email → Email → Email,"Email,Email,Email,Inbound Call,Inbound Call,Inbound Call,Email,Email,Email,Email,Inbound Call,Inbound Call,Email,Inbound Call,Email,Meeting,Inbound Call,Inbound Call"
001E000001gWPNAIA4,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWPOoIAO,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWPQgIAO,US,MRS,Won,32,Email → Email → Email → Email → Email → Email → Email → Email → Inbound Call → Inbound Call → ... → Inbound Call → Email → Follow Up → Meeting → Email → Email → Inbound Call → Inbound Call → Email → Meeting,Email → Email → Email → Email → Email,Email → Email → Email,"Email,Email,Email,Email,Email,Email,Email,Email,Inbound Call,Inbound Call,Email,Inbound Call,Inbound Call,Follow Up,Inbound Call,Follow Up,Inbound Call,Inbound Call,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Follow Up,Meeting,Email,Email,Inbound Call,Inbound Call,Email,Meeting"
001E000001gWPQmIAO,US,MRS,Lost,7,Meeting → Email → Email → Email → Email → Inbound Call → Inbound Call,Meeting → Email → Email → Email → Email,Meeting → Email → Email,"Meeting,Email,Email,Email,Email,Inbound Call,Inbound Call"
001E000001gWPXgIAO,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWPvtIAG,US,MRS,Ongoing,2,Meeting → Meeting,Meeting → Meeting,Meeting → Meeting,"Meeting,Meeting"
001E000001gWPwNIAW,US,MRS,Ongoing,1,Email,Email,Email,Email
001E000001gWPxUIAW,US,MRS,Won,13,Meeting → Meeting → Meeting → Email → Email → Inbound Call → Inbound Call → Inbound Call → Email → Inbound Call → Email → Inbound Call → Email,Meeting → Meeting → Meeting → Email → Email,Meeting → Meeting → Meeting,"Meeting,Meeting,Meeting,Email,Email,Inbound Call,Inbound Call,Inbound Call,Email,Inbound Call,Email,Inbound Call,Email"
001E000001gWPyCIAW,US,MRS,Ongoing,28,Meeting → Meeting → Meeting → Meeting → Meeting → Meeting → Meeting → Meeting → Review → Meeting → ... → Review → Follow Up → Follow Up → Email → Review → Email → Email → Review → Inbound Call → Inbound Call,Meeting → Meeting → Meeting → Meeting → Meeting,Meeting → Meeting → Meeting,"Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Review,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Review,Meeting,Review,Follow Up,Follow Up,Email,Review,Email,Email,Review,Inbound Call,Inbound Call"
001E000001gWPycIAG,US,MRS,Lost,1,Meeting,Meeting,Meeting,Meeting
001E000001gWQ7YIAW,US,MRS,Ongoing,1,Inbound Call,Inbound Call,Inbound Call,Inbound Call
001E000001gWQDvIAO,US,MRS,Ongoing,1,Inbound Call,Inbound Call,Inbound Call,Inbound Call
001E000001gWQEFIA4,US,MRS,Ongoing,4,Email → Email → Email → Email,Email → Email → Email → Email,Email → Email → Email,"Email,Email,Email,Email"
